업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
휴게음식점,2014-08-29,일 나뚜랄레,서울특별시 강남구 삼성로 654  지상1층 109호 (삼성동),서울특별시 강남구 삼성동 52번지 0호 지상1층 109호,10,--,2014-08-29,6084,135-869,2014-08-29,커피숍
휴게음식점,2014-09-01,카페디저트(cafe dessert),서울특별시 강남구 선릉로76길 28  2층 101호 (대치동),서울특별시 강남구 대치동 906번지 5호  ,38.4,0107-7686-490,2014-09-01,6197,135-841,2014-09-01,커피숍
휴게음식점,2014-09-02,올어바웃카페(강남상록회관점),서울특별시 강남구 언주로 508  1층 (역삼동  서울상록회관),서울특별시 강남구 역삼동 701번지  ,196.55,0102-2536-138,2014-09-02,6152,135-513,2014-09-02,커피숍
휴게음식점,2014-09-03,커피베이(청담역점),서울특별시 강남구 영동대로128길 5  지상1층 106호 (삼성동  청구아아파트상가),서울특별시 강남구 삼성동 78번지 4호 청구아파트상가 지상1층 106호,23.85,--,2014-09-03,6078,135-871,2014-09-03,커피숍
휴게음식점,2014-09-04,빌리엔젤 신라스테이점,서울특별시 강남구 언주로 517  지상1층 (역삼동  KT영동지사 호텔동 ),서울특별시 강남구 역삼동 675번지 3호 KT영동지사 호텔동 지상1층 ,60.9,--,2015-10-21,6139,135-915,2014-09-04,커피숍
휴게음식점,2014-09-04,커피 양탕국,서울특별시 강남구 테헤란로25길 21  1층 (역삼동),서울특별시 강남구 역삼동 643번지 8호 1층 ,33,010 -7937-0909,2014-09-04,6131,135-910,2014-09-04,커피숍
휴게음식점,2014-09-11,테이크파이브,서울특별시 강남구 테헤란로 134  지상1층 (역삼동  포스코P&S타워),서울특별시 강남구 역삼동 735번지 3호  ,50,010 -4202-1946,2016-01-25,6235,135-923,2014-09-11,커피숍
휴게음식점,2014-09-12,대익보이차,서울특별시 강남구 테헤란로 119  지상1층 (역삼동),서울특별시 강남구 역삼동 649번지 14호 지상1층 ,290.91,--,2014-09-12,6134,135-912,2014-09-12,커피숍
휴게음식점,2014-09-12,오프(OFF),서울특별시 강남구 도산대로49길 16-4  지상1층 (신사동),서울특별시 강남구 신사동 653번지 11호 지상1층 ,30,02  -545 -1233,2014-09-12,6019,135-897,2014-09-12,커피숍
휴게음식점,2014-09-17,더치앤빈,서울특별시 강남구 선릉로90길 56  지상1층 108호 (대치동  대치동 대우아이빌 명문가),서울특별시 강남구 대치동 891번지 23호 대치동 대우아이빌 명문가 지상1층 108호,25.02,--,2014-09-17,6194,135-840,2014-09-17,커피숍
휴게음식점,2014-09-18,죠이아이스크림,서울특별시 강남구 영동대로 513  지하1층 M110호 (삼성동  컨벤션센터),서울특별시 강남구 삼성동 159번지 0호 컨벤션센터 지하1층 M110호,11.07,--,2014-09-18,6164,135-090,2014-09-18,커피숍
휴게음식점,2014-09-19,티피이서울 현대본점,서울특별시 강남구 압구정로 165  지하1층 (압구정동),서울특별시 강남구 압구정동 429번지  ,10,02  -3443-8148,2014-09-19,6001,135-900,2014-09-19,커피숍
휴게음식점,2014-09-23,마키아티,서울특별시 강남구 강남대로84길 15  지상1층 106호 (역삼동  강남역 효성해링턴타워 더퍼스트),서울특별시 강남구 역삼동 825번지 24호 강남역 효성해링턴타워 더퍼스트 지상1층 106호,32.15,--,2017-03-03,6232,135-934,2014-09-23,커피숍
휴게음식점,2014-09-23,(주)비지에프휴먼넷 강남거평타운점,서울특별시 강남구 봉은사로 129  1층 101호 (논현동  거평타운오피스텔),서울특별시 강남구 논현동 203번지 1호  ,10,0107-6224-509,2015-07-24,6121,135-545,2014-09-23,편의점
휴게음식점,2014-09-23,잠바주스 도곡점(Jamba Juice),서울특별시 강남구 언주로30길 21  B동 지상1층 104호 (도곡동),서울특별시 강남구 도곡동 467번지 7호  ,45.6,02  -2276-6535,2016-12-01,6292,135-856,2014-09-23,커피숍
휴게음식점,2014-09-24,반지카페8그램(GRAM),서울특별시 강남구 봉은사로2길 37  5층 (역삼동),서울특별시 강남구 역삼동 813번지 16호  ,92.34,0108-9040-156,2014-09-24,6123,135-931,2014-09-24,커피숍
휴게음식점,2014-09-25,정지애,서울특별시 강남구 강남대로118길 28  2층 201호 (논현동),서울특별시 강남구 논현동 183번지 10호  ,41.92,010 -3233-1952,2014-09-25,6120,135-827,2014-09-25,커피숍
휴게음식점,2014-09-26,(주)태리학동 맥도날드,서울특별시 강남구 논현로 667  1층 (논현동  맥도날드 학동역점),서울특별시 강남구 논현동 129번지 1호  ,175.4,0109-9033-487,2014-09-26,6112,135-823,2014-09-26,패스트푸드
휴게음식점,2014-09-29,더베이커(The Baker),서울특별시 강남구 도산대로81길 55  지상1층 103호 (청담동),서울특별시 강남구 청담동 141번지 10호  ,103,010 -3763-7717,2014-09-29,6010,135-959,2014-09-29,커피숍
휴게음식점,2014-09-29,설빙,서울특별시 강남구 삼성로 725  1층 (청담동  피제이빌딩본관),서울특별시 강남구 청담동 31번지 12호  ,181.5,0102-9471-144,2014-09-29,6067,135-950,2014-09-29,커피숍
휴게음식점,2014-09-30,위드미,서울특별시 강남구 학동로26길 25  지상1층 (논현동),서울특별시 강남구 논현동 131번지 23호 지상1층 ,3.3,--,2014-09-30,6112,135-824,2014-09-30,편의점
휴게음식점,2014-10-02,아이스빌리지,서울특별시 강남구 영동대로 417  지하1층 B-10호 (대치동),서울특별시 강남구 대치동 948번지  ,104.83,0109-8845-084,2014-10-02,6182,135-847,2014-10-02,커피숍
휴게음식점,2014-10-08,콩지팥지,서울특별시 강남구 개포로22길 90  지상1층 (개포동),서울특별시 강남구 개포동 1183번지  ,146.28,010 -7227-6560,2014-10-08,6315,135-961,2014-10-08,커피숍
휴게음식점,2014-10-08,나인카페(9 cafe),서울특별시 강남구 테헤란로4길 46  지하1층 B130호 (역삼동  쌍용플래티넘벨류),서울특별시 강남구 역삼동 826번지 37호  ,16.89,010 -6557-7044,2014-10-08,6241,135-935,2014-10-08,커피숍
휴게음식점,2014-10-08,파스쿠찌 도심공항터미널점,서울특별시 강남구 테헤란로87길 22  지상1층 R004호 (삼성동  한국도심공항터미널),서울특별시 강남구 삼성동 159번지 6호  ,68,0222-7665-35,2016-11-29,6164,135-090,2014-10-08,커피숍
휴게음식점,2014-10-10,오설록 티하우스 가로수길점,서울특별시 강남구 압구정로12길 16  지상1 2층 (신사동),서울특별시 강남구 신사동 532번지 10호  ,159.66,02  -3446-7415,2014-10-10,6028,135-888,2014-10-10,과자점
휴게음식점,2014-10-10,역삼동카페,서울특별시 강남구 테헤란로4길 46  1층 113호 (역삼동  쌍용플래티넘밸류),서울특별시 강남구 역삼동 826번지 37호  ,37.36,0707-7396-677,2016-09-01,6241,135-935,2014-10-10,커피숍
휴게음식점,2014-10-10,삼바존,서울특별시 강남구 압구정로 165  지하1층 (압구정동  현대백화점본점),서울특별시 강남구 압구정동 429번지  ,6,02  -547 -2233,2014-10-10,6001,135-900,2014-10-10,백화점
